Container_ID,Name,CPU_Usage_Percent,Mem_Usage,Mem_Limit,Mem_Usage_Percent,Net_RX,Net_TX,Block_Read,Block_Write,PIDs
1241fcc4c0e0,rfsim5g-oai-du1,171.30%,1.086GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,13.62%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.35%,8.832MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,19.11%,6.375MiB,23.44GiB,0.03%,65MB,65.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,172.17%,1.085GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.61%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.29%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,19.11%,6.375MiB,23.44GiB,0.03%,65MB,65.2MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,172.17%,1.085GiB,23.44GiB,4.63%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.61%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,19.29%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,33.57%,6.441MiB,23.44GiB,0.03%,65.4MB,65.6MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,167.34%,1.08GiB,23.44GiB,4.61%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.59%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
79b729c535d0,rfsim5g-oai-cuup,18.54%,8.578MiB,23.44GiB,0.04%,9.67GB,7.8GB,1.37MB,0B,12
116606adf744,rfsim5g-oai-cuup2,33.57%,6.441MiB,23.44GiB,0.03%,65.4MB,65.6MB,0B,0B,10
1241fcc4c0e0,rfsim5g-oai-du1,167.34%,1.08GiB,23.44GiB,4.61%,5.33TB,3.95TB,0B,57.6MB,26
1ff7eddb62a8,rfsim5g-oai-cucp,14.59%,60.9MiB,23.44GiB,0.25%,5.14GB,1.5MB,0B,326MB,13
